Name,Sex,Military/Civilian
"Lousma, Jack R.",male,military
"Garriott, Owen K.",male,civilian
"Lazarev, Vasili",male,military
"Makarov, Oleg",male,civilian
"Carr, Gerald P.",male,military
"Pogue, William R.",male,military
"Gibson, Edward G.",male,civilian
"Klimuk, Pyotr",male,military
"Lebedev, Valentin",male,civilian
"Artyukhin, Yuri",male,military
"Sarafanov, Gennadi",male,military
"Dyomin, Lev",male,military
"Gubarev, Aleksei",male,military
"Grechko, Georgi",male,civilian
"Brand, Vance D.",male,civilian
"Slayton, Donald K.",male,civilian
"Zholobov, Vitali",male,military
"Aksyonov, Vladimir",male,military
"Zudov, Vyacheslav",male,military
"Rozhdestvensky, Valery",male,military
"Glazkov, Yuri",male,military
"Kovalyonok, Vladimir",male,military
"Ryumin, Valery",male,civilian
"Romanenko, Yuri",male,military
"Dzhanibekov, Vladimir",male,military
Vladimir Remek,male,military
"Ivanchenkov, Aleksandr",male,military
Miroslaw Hermaszewske,male,military
"Jahn, Sigmund",male,military
"Lyakhov, Vladimir",male,military
Georgi Ivanov,male,military
"Popov, Leonid",male,military
Bertalan Farkas,male,civilian
"Malyshev, Yuri",male,military
Pham Tuan,male,military
Arnaldo Tamayo Mendez,male,military
"Kizim, Leonid",male,military
"Strekalov, Gennadi",male,civilian
"Savitskaya, Svetlana",female,civilian
"Overmyer, Robert F.",male,military
"Allen, Joseph P.",male,civilian
"Lenoir, William B.",male,civilian
"Bobko, Karol J.",male,military
"Peterson, Donald H.",male,military
"Musgrave, Franklin Story",male,civilian
"Titov, Vladimir",male,military
"Hauck, Frederick H.",male,military
"Fabian, John M.",male,military
"Ride, Sally K.",female,civilian
"Thagard, Norman E.",male,civilian
"Aleksandrov, Aleksandr",male,civilian
"Brandenstein, Daniel C.",male,military
"Bluford, Guion S., Jr.",male,military
"Gardner, Dale A.",male,military
"Thornton, William E.",male,civilian
"Shaw, Brewster H., Jr.",male,military
"Parker, Robert A. R.",male,civilian
"Lichtenberg, Byron Kurt",male,military
"Merbold, Ulf",male,civilian
"Gibson, Robert L.",male,military
"McNair, Ronald E.",male,civilian
"Stewart, Robert L.",male,military
"McCandless, Bruce, II",male,military
"Solovyov, Vladimir",male,civilian
"Atkov, Oleg",male,civilian
Rakesh Sharma,male,military
"Scobee, Francis R.",male,military
"Hart, Terry J.",male,civilian
"Van Hoften, James D. A.",male,civilian
"Nelson, George D.",male,civilian
"Volk, Igor",male,military
"Coats, Michael L.",male,military
"Mullane, Richard M.",male,military
"Hawley, Steven A.",male,civilian
"Resnik, Judith A.",female,civilian
"Walker, Charles David",male,civilian
