id,name,sex,year_of_birth,nationality,military_civilian,year_of_selection,mission_number,total_number_of_missions,occupation,year_of_mission,Age of astronaut,mission_title,hours_mission,total_hrs_sum
87,"Serebrov, Aleksandr",male,1944,U.S.S.R/Russia,civilian,1978,1,4,flight engineer,1982,38,Salyut 7,189,8950.87
88,"Beregovoi, Georgi",male,1921,U.S.S.R/Russia,military,1964,1,1,commander,1968,47,Soyuz 3,94.83,94.83
89,"Anders, William Alison",male,1933,U.S.,civilian,1963,1,1,pilot,1968,35,Apollo 8,147,147
90,"Shatalov, Vladimir",male,1927,U.S.S.R/Russia,military,1963,1,3,commander,1969,42,Soyuz 4,71.33,237.92
91,"Shatalov, Vladimir",male,1927,U.S.S.R/Russia,military,1963,2,3,commander,1969,42,Soyuz 8,118,237.92
92,"Shatalov, Vladimir",male,1927,U.S.S.R/Russia,military,1963,3,3,commander,1971,44,Soyuz 10,47,237.92
93,"Volynov, Boris",male,1934,U.S.S.R/Russia,military,1960,1,2,commander,1969,35,Soyuz 5,72,1255.28
94,"Volynov, Boris",male,1934,U.S.S.R/Russia,military,1960,2,2,commander,1976,42,Soyuz 21,1182,1255.28
95,"Yeliseyev, Aleksei",male,1934,U.S.S.R/Russia,civilian,1968,1,3,flight engineer,1969,35,Soyuz 5/4,47,214.33
96,"Yeliseyev, Aleksei",male,1934,U.S.S.R/Russia,civilian,1968,2,3,flight engineer,1969,35,Soyuz 8,118,214.33
97,"Yeliseyev, Aleksei",male,1934,U.S.S.R/Russia,civilian,1968,3,3,flight engineer,1971,37,Soyuz 10,47,214.33
98,"Khrunov, Yevgeny",male,1933,U.S.S.R/Russia,military,1960,1,1,MSP,1969,36,Soyuz 5/4,48.17,47.75
99,"Schweickart, Russell L.",male,1935,U.S.,civilian,1963,1,1,pilot,1969,34,apollo 9,241,241
100,"Shonin, Georgi",male,1935,U.S.S.R/Russia,military,1960,1,1,commander,1969,34,Soyuz 6,118,118.7
101,"Kubasov, Valeri",male,1935,U.S.S.R/Russia,military,1968,1,3,flight engineer,1969,34,Soyuz 6,118,449.95
102,"Kubasov, Valeri",male,1935,U.S.S.R/Russia,military,1968,2,3,flight engineer,1975,40,Soyuz 19,142,449.95
103,"Kubasov, Valeri",male,1935,U.S.S.R/Russia,military,1968,3,3,commander,1980,45,Soyuz 36/35,188,449.95
104,"Filipchenko, Anatoly",male,1928,U.S.S.R/Russia,military,1963,1,2,commander,1969,41,Soyuz 7,118,261.05
105,"Filipchenko, Anatoly",male,1928,U.S.S.R/Russia,military,1963,2,2,commander,1974,46,Soyuz 16,142,261.05
106,"Volkov, Vladislav",male,1935,U.S.S.R/Russia,military,1968,1,2,flight engineer,1969,34,Soyuz 7,118,689.02
107,"Volkov, Vladislav",male,1935,U.S.S.R/Russia,military,1968,2,2,flight engineer,1971,36,Soyuz 11,570,689.02
108,"Gorbatko, Viktor",male,1934,U.S.S.R/Russia,military,1960,1,3,MSP,1969,35,Soyuz 7,118,732.78
109,"Gorbatko, Viktor",male,1934,U.S.S.R/Russia,military,1960,2,3,commander,1977,43,Soyuz 24,425,732.78
110,"Gorbatko, Viktor",male,1934,U.S.S.R/Russia,military,1960,3,3,commander,1980,46,Soyuz 37/36,188,732.78
111,"Bean, Alan Lavern",male,1932,U.S.,military,1963,1,2,pilot,1969,37,Apollo 12,244.81,1671.75
112,"Bean, Alan Lavern",male,1932,U.S.,military,1963,2,2,commander,1973,41,Skylab 3,1427.23,1671.75
113,"Swigert, John L., Jr.",male,1931,U.S.,civilian,1966,1,1,pilot,1970,39,Apollo 13,142,142
114,"Haise, Fred W., Jr.",male,1933,U.S.,civilian,1966,1,1,pilot,1970,37,Apollo 13,142,142
115,"Sevastyanov, Vitali",male,1935,U.S.S.R/Russia,civilian,1968,1,2,flight engineer,1970,35,Soyuz 9,424,1936.3
116,"Sevastyanov, Vitali",male,1935,U.S.S.R/Russia,civilian,1968,2,2,flight engineer,1975,40,Soyuz 18,1511,1936.3
117,"Shepard, Alan B., Jr.",male,1923,U.S.,military,1959,2,2,commander,1971,48,Apollo 14,216,216.25
118,"Roosa, Stuart A.",male,1933,U.S.,military,1966,1,1,pilot,1971,38,Apollo 14,216,216
119,"Mitchell, Edgar D.",male,1930,U.S.,military,1966,1,1,pilot,1971,41,Apollo 14,216,216
120,"Rukavishnikov, Nikolai",male,1932,U.S.S.R/Russia,military,1968,1,3,flight engineer,1971,39,Soyuz 10,47,237.15
121,"Rukavishnikov, Nikolai",male,1932,U.S.S.R/Russia,military,1968,2,3,flight engineer,1974,42,Soyuz 16,142,237.15
122,"Rukavishnikov, Nikolai",male,1932,U.S.S.R/Russia,military,1968,3,3,commander,1979,47,Soyuz 33,47,237.15
123,"Dobrovolski, Georgi",male,1928,U.S.S.R/Russia,military,1963,1,1,commander,1971,43,Soyuz 11,570,570.35
124,"Patsayev, Viktor",male,1933,U.S.S.R/Russia,civilian,1968,1,1,flight engineer,1971,38,Soyuz 11,570,570.35
125,"Worden, Alfred M.",male,1932,U.S.,military,1966,1,1,pilot,1971,39,Apollo 15,295.2,295.2
126,"Irwin, James B.",male,1930,U.S.,military,1966,1,1,pilot,1971,41,Apollo 15,295,295
127,"Mattingly, Thomas K., II",male,1936,U.S.,military,1966,1,3,pilot,1972,36,Apollo 16,266,508
128,"Mattingly, Thomas K., II",male,1936,U.S.,military,1966,2,3,commander,1982,46,STS-4,169,508
129,"Mattingly, Thomas K., II",male,1936,U.S.,military,1966,3,3,commander,1985,49,STS-151-C,73,508
130,"Duke, Jr. Charles Moss",male,1935,U.S.,military,1966,1,1,pilot,1972,37,Apollo 16,265,265
131,"Evans, Ronald E.",male,1933,U.S.,military,1966,1,1,pilot,1972,39,Apollo 17,301,301
132,"Schmitt, Harrison H.",male,1935,U.S.,civilian,1965,1,1,pilot,1972,37,Apollo 17,301,301
133,"Weitz, Paul J.",male,1932,U.S.,military,1966,1,2,pilot,1973,41,Skylab-2,267,793.22
134,"Weitz, Paul J.",male,1932,U.S.,military,1966,2,2,commander,1983,51,STS-6,120,793.22
135,"Kerwin, Joseph P.",male,1932,U.S.,military,1965,1,1,MSP,1973,41,Skylab 2,672,672
136,"Lousma, Jack R.",male,1936,U.S.,military,1966,1,2,pilot,1973,37,Skylab 3,1427,1619
137,"Lousma, Jack R.",male,1936,U.S.,military,1966,2,2,commander,1982,46,STS-3,192,1619
138,"Garriott, Owen K.",male,1930,U.S.,civilian,1965,1,2,MSP,1973,43,Skylab 3,1427,1674
139,"Garriott, Owen K.",male,1930,U.S.,civilian,1965,2,2,MSP,1983,53,STS-9,247,1674
140,"Lazarev, Vasili",male,1928,U.S.S.R/Russia,military,1964,1,1,commander,1973,45,Soyuz 12,47,47.25
141,"Makarov, Oleg",male,1933,U.S.S.R/Russia,civilian,1968,1,3,flight engineer,1973,40,Soyuz 12,47,497.33
142,"Makarov, Oleg",male,1933,U.S.S.R/Russia,civilian,1968,2,3,flight engineer,1978,45,Soyuz 27/26,142,497.33
143,"Makarov, Oleg",male,1933,U.S.S.R/Russia,civilian,1968,3,3,flight engineer,1980,47,Soyuz T­3,307,497.33
144,"Carr, Gerald P.",male,1932,U.S.,military,1966,1,1,commander,1974,42,Skylab 4,2017,2017
145,"Pogue, William R.",male,1930,U.S.,military,1966,1,1,pilot,1973,43,Skylab 4,2017,2017
146,"Gibson, Edward G.",male,1936,U.S.,civilian,1965,1,1,MSP,1973,37,Skylab 4,2017,2017
