id,name,sex,year_of_birth,nationality,military_civilian,year_of_selection,mission_number,total_number_of_missions,occupation,year_of_mission,Age of astronaut,mission_title,hours_mission,total_hrs_sum
147,"Klimuk, Pyotr",male,1942,U.S.S.R/Russia,military,1965,1,3,commander,1973,31,Soyuz 13,188,1890.28
148,"Klimuk, Pyotr",male,1942,U.S.S.R/Russia,military,1965,2,3,commander,1975,33,Saluyt 4,1511,1890.28
149,"Klimuk, Pyotr",male,1942,U.S.S.R/Russia,military,1965,3,3,commander,1978,36,Saluyt 6,190,1890.28
150,"Lebedev, Valentin",male,1942,U.S.S.R/Russia,civilian,1972,1,2,flight engineer,1973,31,Soyuz 13,188,5261.98
151,"Lebedev, Valentin",male,1942,U.S.S.R/Russia,civilian,1972,2,2,flight engineer,1982,40,Salyut 7,5313,5261.98
152,"Artyukhin, Yuri",male,1930,U.S.S.R/Russia,military,1963,1,1,flight engineer,1974,44,Soyuz 14,377,377.5
153,"Sarafanov, Gennadi",male,1942,U.S.S.R/Russia,military,1965,1,1,commander,1974,32,Soyuz 15,48,48.2
154,"Dyomin, Lev",male,1926,U.S.S.R/Russia,military,1963,1,1,flight engineer,1974,48,Soyuz 15,48,48.2
155,"Gubarev, Aleksei",male,1931,U.S.S.R/Russia,military,1963,1,2,commander,1975,44,Salyut 4,709,899.6
156,"Gubarev, Aleksei",male,1931,U.S.S.R/Russia,military,1963,2,2,commander,1978,47,Salyut 6,190,899.6
157,"Grechko, Georgi",male,1931,U.S.S.R/Russia,civilian,1968,1,3,flight engineer,1975,44,Salyut 4,709,3236.53
158,"Grechko, Georgi",male,1931,U.S.S.R/Russia,civilian,1968,2,3,flight engineer,1977,46,Salyut 6,2314,3236.53
159,"Grechko, Georgi",male,1931,U.S.S.R/Russia,civilian,1968,3,3,flight engineer,1985,54,Soyuz 7,213,3236.53
160,"Brand, Vance D.",male,1931,U.S.,civilian,1966,1,4,pilot,1975,44,ASTP,217.5,746
161,"Brand, Vance D.",male,1931,U.S.,civilian,1966,2,4,commander,1982,51,STS-5,122.25,746
162,"Brand, Vance D.",male,1931,U.S.,civilian,1966,3,4,commander,1984,53,STS-41-B,191.25,746
163,"Brand, Vance D.",male,1931,U.S.,civilian,1966,4,4,commander,1990,59,STS-35,215,746
164,"Slayton, Donald K.",male,1924,U.S.,civilian,1959,1,1,pilot,1975,51,ASTP,217.47,217.47
165,"Zholobov, Vitali",male,1937,U.S.S.R/Russia,military,1963,1,1,flight engineer,1976,39,Soyuz 21,1182,1182.38
166,"Aksyonov, Vladimir",male,1935,U.S.S.R/Russia,military,1973,1,2,flight engineer,1976,41,Soyuz 22,189,284.18
167,"Aksyonov, Vladimir",male,1935,U.S.S.R/Russia,military,1973,2,2,flight engineer,1980,45,Soyuz T­2,94,284.18
168,"Zudov, Vyacheslav",male,1942,U.S.S.R/Russia,military,1965,1,1,commander,1976,34,Soyuz 23,48,48.1
169,"Rozhdestvensky, Valery",male,1939,U.S.S.R/Russia,military,1965,1,1,flight engineer,1976,37,Soyuz 23,48,48.1
170,"Glazkov, Yuri",male,1939,U.S.S.R/Russia,military,1965,1,1,flight engineer,1977,38,Soyuz 24,425,425.42
171,"Kovalyonok, Vladimir",male,1942,U.S.S.R/Russia,military,1967,1,3,commander,1977,35,Soyuz 25,48,5193.13
172,"Kovalyonok, Vladimir",male,1942,U.S.S.R/Russia,military,1967,2,3,commander,1978,36,Salyut 6,3350,5193.13
173,"Kovalyonok, Vladimir",male,1942,U.S.S.R/Russia,military,1967,3,3,commander,1981,39,Salyut 6,1793,5193.13
174,"Ryumin, Valery",male,1939,U.S.S.R/Russia,civilian,1973,1,4,flight engineer,1977,38,Soyuz 25,48,8921.4
175,"Ryumin, Valery",male,1939,U.S.S.R/Russia,civilian,1973,2,4,flight engineer,1979,40,Salyut 6,4200,8921.4
176,"Ryumin, Valery",male,1939,U.S.S.R/Russia,civilian,1973,3,4,flight engineer,1980,41,Salyut 6,4436,8921.4
177,"Ryumin, Valery",male,1939,U.S.S.R/Russia,civilian,1973,4,4,MSP,1998,59,STS­ 91,235,8921.4
178,"Romanenko, Yuri",male,1944,U.S.S.R/Russia,military,1970,1,3,commander,1977,33,Soyuz 26/27,2314,10338.35
179,"Romanenko, Yuri",male,1944,U.S.S.R/Russia,military,1970,2,3,commander,1980,36,Soyuz 38,188,10338.35
180,"Romanenko, Yuri",male,1944,U.S.S.R/Russia,military,1970,3,3,commander,1987,43,2,7835,10338.35
181,"Dzhanibekov, Vladimir",male,1942,U.S.S.R/Russia,military,1970,1,5,commander,1978,36,Soyuz 27/26,142,3495.93
182,"Dzhanibekov, Vladimir",male,1942,U.S.S.R/Russia,military,1970,2,5,commander,1981,39,Soyuz 39,188,3495.93
183,"Dzhanibekov, Vladimir",male,1942,U.S.S.R/Russia,military,1970,3,5,commander,1982,40,Salyut 7,189,3495.93
184,"Dzhanibekov, Vladimir",male,1942,U.S.S.R/Russia,military,1970,4,5,commander,1984,42,Salyut 7,283,3495.93
185,"Dzhanibekov, Vladimir",male,1942,U.S.S.R/Russia,military,1970,5,5,commander,1985,43,Salyut 7,2691,3495.93
186,Vladimir Remek,male,1948,Czechoslovakia,military,1976,1,1,pilot,1978,30,Soyuz 28,190.28,190.28
187,"Ivanchenkov, Aleksandr",male,1940,U.S.S.R/Russia,military,1973,1,2,flight engineer,1978,38,Salyut 6,3350,3540.62
188,"Ivanchenkov, Aleksandr",male,1940,U.S.S.R/Russia,military,1973,2,2,flight engineer,1982,42,Salyut 7,189,3540.62
189,Miroslaw Hermaszewske,male,1941,Poland,military,1976,1,1,pilot,1978,37,Soyuz 30,190.03,190.03
190,"Jahn, Sigmund",male,1937,Germany,military,1976,1,1,MSP,1978,41,Soyuz 31,188.82,188.82
191,"Lyakhov, Vladimir",male,1941,U.S.S.R/Russia,military,1967,1,3,commander,1979,38,Salyut 6,4200,7999.78
192,"Lyakhov, Vladimir",male,1941,U.S.S.R/Russia,military,1967,2,3,commander,1983,42,Salyut 7,3586,7999.78
193,"Lyakhov, Vladimir",male,1941,U.S.S.R/Russia,military,1967,3,3,commander,1988,47,3,212,7999.78
194,Georgi Ivanov,male,1940,Bulgaria,military,1978,1,1,pilot,1979,39,Soyuz 33,47,47
195,"Popov, Leonid",male,1945,U.S.S.R/Russia,military,1970,1,3,commander,1980,35,Salyut 6,4436,4814.75
196,"Popov, Leonid",male,1945,U.S.S.R/Russia,military,1970,2,3,commander,1981,36,Salyut 6,188,4814.75
197,"Popov, Leonid",male,1945,U.S.S.R/Russia,military,1970,3,3,commander,1982,37,Salyut 7,189,4814.75
198,Bertalan Farkas,male,1949,Hungry,civilian,1978,1,1,pilot,1980,31,Soyuz 36/35,188.75,188.75
199,"Malyshev, Yuri",male,1941,U.S.S.R/Russia,military,1967,1,2,commander,1980,39,Salyut 7,94,283.98
200,"Malyshev, Yuri",male,1941,U.S.S.R/Russia,military,1967,2,2,commander,1984,43,Salyut 7,189,283.98
201,Pham Tuan,male,1947,Vietnam,military,1979,1,1,MSP,1980,33,Salyut 6,188.7,188.7
202,Arnaldo Tamayo Mendez,male,1942,Cuba,military,1978,1,1,pilot,1980,38,Soyuz 38,1887.71,188.71
203,"Kizim, Leonid",male,1941,U.S.S.R/Russia,military,1965,1,3,commander,1980,39,Salyut 6,307,8993.93
204,"Kizim, Leonid",male,1941,U.S.S.R/Russia,military,1965,2,3,commander,1984,43,Salyut 7,5686,8993.93
205,"Kizim, Leonid",male,1941,U.S.S.R/Russia,military,1965,3,3,commander,1986,45,1,3000,8993.93
206,"Strekalov, Gennadi",male,1940,U.S.S.R/Russia,civilian,1973,1,5,MSP,1980,40,Salyut 6,307,6454.37
207,"Strekalov, Gennadi",male,1940,U.S.S.R/Russia,civilian,1973,2,5,flight engineer,1983,43,Soyuz T­8,48,6454.37
208,"Strekalov, Gennadi",male,1940,U.S.S.R/Russia,civilian,1973,3,5,flight engineer,1984,44,Salyut 7,189,6454.37
209,"Strekalov, Gennadi",male,1940,U.S.S.R/Russia,civilian,1973,4,5,flight engineer,1990,50,7,3140,6454.37
210,"Strekalov, Gennadi",male,1940,U.S.S.R/Russia,civilian,1973,5,5,flight engineer,1995,55,18,2768,6454.37
211,"Savinykh, Viktor",male,1940,U.S.S.R/Russia,civilian,1978,1,3,flight engineer,1981,41,Salyut 6,1793,6065.63
212,"Serebrov, Aleksandr",male,1944,U.S.S.R/Russia,civilian,1978,2,4,MSP,1983,39,Soyuz T­8,48,8950.87
213,"Serebrov, Aleksandr",male,1944,U.S.S.R/Russia,civilian,1978,3,4,flight engineer,1990,46,5,3990,8950.87
214,"Serebrov, Aleksandr",male,1944,U.S.S.R/Russia,civilian,1978,4,4,flight engineer,1993,49,14,4721,8950.87
